ID,inventorynumber,artist,originaltitle,date,medium,accessionyear,provenance,permalink,permalinkimage,copyright
413.jpg,KS 16,"David de Coninck (1642–1701), artist / attributed to Abraham Brueghel  (1631–1697), artist, historic","Stillleben mit Blumen, Früchten und Äffchen",c. 1685,Oil on canvas,1981,"David de Coninck (*1642 Antwerpen, +1701 Brüssel) (Künstler/in) /// Verbleib unbekannt /// Privatsammlung /// Verbleib unbekannt /// o.D. – 1980, Betty und David M. Koetser (Sammler/in) /// ab 1980, Stiftung Betty und David Koetser (Sammlung), Zürich /// ab 1981, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/413,https://collection.kunsthaus.ch/multimedia/8/multimedia-128188.extra-large.jpg,
2620.jpg,210,Hyacinthe Rigaud (1659–1743),"Portrait de Suzanne de Boubers de Bernâtre,  épouse de Balthasar Keller",1686,Oil on canvas,1854,"Hyacinthe Rigaud (*1659 Perpignan, +1743 Paris) (Künstler/-in) /// Verbleib unbekannt /// Johann Caspar Keller zum Mohrenkopf (*1744 Zürich, +1829 Zürich) (Sammler/-in), Haus zum Mohrenkopf, Zürich /// o.D. – 1854, Albert Keller (*1800, +1874) (Sammler/-in), Mailand /// ab 1854, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/2620,https://collection.kunsthaus.ch/multimedia/5/multimedia-2295.extra-large.jpg,
2956.jpg,209,Hyacinthe Rigaud (1659–1743),"Portrait de Balthasar Keller, fondeur",1685,Oil on canvas,1854,"Hyacinthe Rigaud (*1659 Perpignan, +1743 Paris) (Künstler/-in) /// Verbleib unbekannt /// Johann Caspar Keller zum Mohrenkopf (*1744 Zürich, +1829 Zürich) (Sammler/-in), Haus zum Mohrenkopf, Zürich /// o.D. – 1854, Albert Keller (*1800, +1874) (Sammler/-in), Mailand, Nachlass /// ab 1854, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/2956,https://collection.kunsthaus.ch/multimedia//multimedia-2390.extra-large.jpg,
432960.jpg,ZKG.2019/0006,Ella Littwitz (*1982),A Moon in Ramallah is a Star in Hebron,2017,Embroidery,2019,"Ella Littwitz (*1982 Haifa) (Künstler/in) /// Copperfield Gallery (Galerie), London /// 2019, Dr. Georg und Josi Guggenheim-Stiftung (Sammlung), Zürich, Kauf /// ab 2019, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/432960,https://collection.kunsthaus.ch/multimedia/1/multimedia-1445241.extra-large.jpg,"© Ella Littwitz, courtesy of Copperfield London, HLP gallery and Alexander Levy gallery"
604962.jpg,BU 0054,Vincent van Gogh (1853–1890),Autoportrait,1887,Oil on canvas,2021,für Provenienz siehe https://www.buehrle.ch/sammlung,https://collection.kunsthaus.ch/de/collection/item/604962,https://collection.kunsthaus.ch/multimedia/9/multimedia-897269.extra-large.jpg,
3263.jpg,1987/0020,Édouard Vuillard (1868–1940),Village au bord de la mer. Saint-Jacut,1909,Oil on canvas,1987,"Edouard Vuillard (*1868 Cuiseaux (Saône-et-Loire), +1940 La Baule) (Künstler/-in) /// Antoine Salomon, Nachlass /// Unbekannt (Sammler/-in), Frankreich /// E. J. van Wisselingh & Co. (Kunsthandel), Naarden /// o.D. – 1987, Galerie Nathan (Galerie), Zürich /// 1987, Annie Bodmer-Abegg (Sammler/-in), Zürich, Kauf /// ab 1987, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/3263,https://collection.kunsthaus.ch/multimedia/8/multimedia-1002218.extra-large.jpg,
7202.jpg,D.2016/0021,Dirck de Bray (1625–1694),Narzissen und andere Blumen in Glasvase auf einer Marmorplatte,1673,Oil on oak panel,2016,"Dirck de Bray (*1625 Haarlem, +1694 Goch) (Künstler/-in) /// Verbleib unbekannt /// Kunsthändler Het Oude Hof (Kunsthandel), Den Haag /// 1972, Douwes Fine Art Ltd. (Kunsthandel), Amsterdam/London /// ab 1987, Schweizer Privatsammlung /// ab 2016, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Leihgabe",https://collection.kunsthaus.ch/de/collection/item/7202,https://collection.kunsthaus.ch/multimedia/3/multimedia-972303.extra-large.jpg,
7598.jpg,2014/0004,Giovanni Lanfranco (1582–1647),L’addio di Rinaldo ad Armida,1614,Oil on canvas,2014,"Giovanni Lanfranco (*1582 Parma, +1647 Rom) (Künstler/-in) /// Kardinal Giacomo Sannesi (*1557, +1621) (Sammler/-in), Rom /// Herzog Francesco Sannesi, Rom, Nachlass /// 5.1720, Marchese Clemente Sannesi, Nachlass, erscheint im Inventar Mai 1720 /// 8.1724, Herzogin Anna Maria Sannesi, Nachlass, erscheint im Inventar August 1724 /// Marchese Emilio de' Cavalieri, posthumes Inventar Januar 1755, ab 1790 erscheint es nicht mehr in den Inventaren /// Verbleib unbekannt /// Privatsammlung, Schweiz /// [Verbleib unbekannt?] /// Privatsammlung, Bologna /// [Verbleib unbekannt?] /// 26.5.2004, Porro & C. (Auktion), Mailand, Lot 40 (zurück an Besitzer) /// [Verbleib unbekannt?] /// Galerie Canesso (Galerie), Paris /// 2014, Dr. Joseph Scholz Stiftung (Sammlung) und René Wehrli, Zürich, Kauf /// ab 2014, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Geschenk",https://collection.kunsthaus.ch/de/collection/item/7598,https://collection.kunsthaus.ch/multimedia/4/multimedia-374194.extra-large.jpg,
2018.jpg,1946/0002,Edvard Munch (1863–1944),Hafen von Lübeck,1907,Oil on canvas,1946,"Edvard Munch (*1863 Løiten (Hedmark), +1944 Ekely (Oslo)) (Künstler/in) /// 1907 – 1910, Paul Cassirer (*1871 Görlitz, +1926 Berlin) (Sammler/in), Berlin /// 1910 – 1943, Curt Glaser (*1879 Leipzig, +1943 Lake Placid, NY) (Sammler/in), Berlin/Ascona, Kauf /// 1943 – 1946, Maria Glaser-Ash (Sammler/in), New York, Nachlass /// 1946, Charles Albert de Burlet (*1882 Rotterdam, +1956 Basel) (Vermittler/in), Basel /// ab 1946, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/2018,https://collection.kunsthaus.ch/multimedia/4/multimedia-356264.extra-large.jpg,
2420.jpg,1946/0001,Edvard Munch (1863–1944),Bildnis Elsa Glaser,1913,Oil on canvas,1946,"Edvard Munch (*1863 Løiten (Hedmark), +1944 Ekely (Oslo)) (Künstler/in) /// Curt Glaser (*1879 Leipzig, +1943 Lake Placid, NY) (Sammler/in), Berlin/Ascona /// 1943 – 1946, Maria Glaser-Ash (Sammler/in), New York, Nachlass /// 1946, Charles Albert de Burlet (*1882 Rotterdam, +1956 Basel) (Vermittler/in), Basel /// ab 1946, Zürcher Kunstgesellschaft | Kunsthaus Zürich (Museum), Zürich, Kauf",https://collection.kunsthaus.ch/de/collection/item/2420,https://collection.kunsthaus.ch/multimedia//multimedia-554210.extra-large.jpg,
